Variable,Min,Max,Process,Group
TIMESTAMP,NaN,NaN,0,NaN
U,-45,45,1,Wind
V,-45,45,1,Wind
W,-45,45,1,Wind
T_SONIC,233.15,333.15,1,Temperature
SA_DIAG_TYPE,1,10,1,NaN
SA_DIAG_VALUE,NaN,NaN,0,NaN
CO2_CONC,6,45,0,NaN
H2O_CONC,0,1800,0,NaN
CO2_POW_SAM,25000,35000,1,NaN
H2O_POW_SAM,40000,60000,1,NaN
CO2_POW_REF,30000,50000,1,NaN
H2O_POW_REF,40000,60000,1,NaN
CO2,150,1000,1,CO2
H2O,0,40,1,H2O
CO2_DRY,150,1000,0,CO2
H2O_DRY,0,40,0,H2O
T_CELL,-40,40,1,NaN
T_CELL_IN,-40,40,1,Temperature
T_CELL_OUT,-40,40,1,Temperature
PRESS_CELL,80,120,1,Press
PRESS_DELTA,-1,-0.1,1,DeltaPress
FLOW_PRESS,0.2,2,1,DeltaPress
FLOW_VOLRATE,8,16,1,Voltage
GA_DIAG_CODE,NaN,NaN,0,NaN
GA_TUBE_HEAT,4,4,1,NaN
GA_TUBE_HEAT_V,8,16,1,Voltage
CO2_MASS,290,1950,1,NaN
H2O_MASS,0,32,1,NaN
CO2_ABS,NaN,NaN,0,NaN
H2O_ABS,NaN,NaN,0,NaN
FLOW_STDRATE,11,13,1,FLOW_STDRATE
T_DEW,-50,30,0,Temperature
T_GA,-40,40,1,Temperature
PRESS_BOX,80,120,1,Press
FLOW_PUMPDRIVE,10,60,1,%
CO2_STR,70,110,1,%
H2O_STR,70,110,1,%
DELTA_STR,-2,2,1,DELTA_STR
GA_CHKSUM,0,256,0,NaN
