Variable,Min,Max,Process,Group
TIMESTAMP,NaN,NaN,0,NaN
TS_3_1_1,-20,20,1,TS
TS_4_1_1,-20,20,1,TS
TS_3_2_1,-20,20,1,TS
TS_4_2_1,-20,20,1,TS
TS_3_3_1,-20,20,1,TS
TS_4_3_1,-20,20,1,TS
TS_3_4_1,-20,20,1,TS
TS_3_5_1,-20,20,1,TS
SWC_3_1_1,0,130,1,SWC
SWC_4_1_1,0,130,1,SWC
SWC_3_2_1,0,130,1,SWC
G_3_1_1,-50,250,1,G
G_4_1_1,-50,250,1,G
G_SF_3_1_1,20,80,1,G_SF
G_SF_4_1_1,20,80,1,G_SF
G_ISCAL_3_1_1,0,1,0,G_ISCAL
G_ISCAL_4_1_1,0,1,0,G_ISCAL
WTD_2_1_1,-0.2,0.2,1,WTD
WCP_2_1_1,1000,2500,1,WCP
