Variable,Min,Max,Process,Group
TIMESTAMP,NaN,NaN,0,NaN
TS_1_1_1,-20,20,1,TS
TS_2_1_1,-20,20,1,TS
TS_1_2_1,-20,20,1,TS
TS_2_2_1,-20,20,1,TS
TS_1_3_1,-20,20,1,TS
TS_2_3_1,-20,20,1,TS
TS_1_4_1,-20,20,1,TS
TS_1_5_1,-20,20,1,TS
SWC_1_1_1,0,130,1,SWC
SWC_2_1_1,0,130,1,SWC
SWC_1_2_1,0,130,1,SWC
G_1_1_1,-50,250,1,G
G_2_1_1,-50,250,1,G
G_SF_1_1_1,20,80,1,G_SF
G_SF_2_1_1,20,80,1,G_SF
G_ISCAL_1_1_1,0,1,0,G_ISCAL
G_ISCAL_2_1_1,0,1,0,G_ISCAL
WTD_1_1_1,-0.2,0.2,1,WTD
WCP_1_1_1,500,2500,1,WCP
