Variable,Min,Max,Process,Group
TIMESTAMP,NaN,NaN,0,NaN
SW_IN_1_1_1,-20,1500,1,Radiation
SW_OUT_1_1_1,-20,600,1,Radiation
LW_IN_1_1_1,20,700,1,Radiation
LW_OUT_1_1_1,20,900,1,Radiation
LW_T_BODY_1_1_1,-40,40,1,Temperature
PPFD_IN_1_1_1,-25,3000,1,PPFD
PPFD_OUT_1_1_1,-25,1200,1,PPFD
TA_1_1_1,-40,40,1,Temperature
RH_1_1_1,1,105,1,RH
PA_1_1_1,80,120,1,PA
SW_IN_IU_1_1_1,NaN,NaN,1,NaN
SW_OUT_IU_1_1_1,NaN,NaN,1,NaN
LW_IN_IU_1_1_1,NaN,NaN,1,NaN
LW_OUT_IU_1_1_1,NaN,NaN,1,NaN
PPFD_IN_IU_1_1_1,NaN,NaN,1,NaN
PPFD_OUT_IU_1_1_1,NaN,NaN,1,NaN
WS_1_1_1,0,50,1,WS
WD_1_1_1,0,360,1,WD
PA_IU_1_1_1,NaN,NaN,1,NaN
TA_IU_1_1_1,NaN,NaN,1,NaN
RH_IU_1_1_1,NaN,NaN,1,NaN
